SCH_ID,STU_ID,Profmath2,mathach,byses,usecalc,usecompu,urban,gender
2061,206106,0,29.238,-0.200000003,5,1,0,1
2061,206107,0,20.913,0.050000001,5,1,0,1
2061,206108,1,44.984,-0.180000007,5,1,0,0
2061,206109,0,29.454,-1.330000043,5,1,0,1
2061,206110,1,34.139,-0.75,4,2,0,0
2061,206111,1,31.576,-1.269999981,4,2,0,1
2061,206113,1,33.438,-0.649999976,4,1,0,1
2061,206114,1,46.112,-0.100000001,5,1,0,0
2061,206115,1,36.453,-1.210000038,4,2,0,1
2061,206116,0,22.24,0.270000011,2,1,0,1
2061,206117,0,17.795,-0.189999998,2,5,0,0
2061,206119,0,27.68,0.170000002,5,1,0,1
2061,206120,0,19.951,0.239999995,2,2,0,1
2061,206121,1,47.833,-0.460000008,5,2,0,0
2061,206123,0,24.789,0.49000001,4,1,0,1
2061,206125,1,46.076,-0.090000004,5,1,0,1
2061,206126,0,18.669,0.730000019,5,1,0,1
2061,206127,1,35.993,0.579999983,5,2,0,1
2061,206128,1,53.959,0.49000001,5,2,0,0
2061,206129,1,32.329,-0.560000002,5,2,0,1
2061,206130,1,37.837,0.49000001,5,1,0,1
2061,206131,0,26.716,0.370000005,4,5,0,0
2061,206132,1,31.971,-0.730000019,5,1,0,1
2061,206133,0,22.985,0.239999995,4,1,0,0
2062,206201,0,30.794,0.589999974,2,2,0,0
2062,206202,1,51.552,1.519999981,4,2,0,1
2062,206203,1,51.719,1.389999986,4,1,0,0
2062,206204,1,50.367,0.25999999,4,3,0,0
2062,206205,1,52.614,0.579999983,5,1,0,1
2062,206206,1,33.108,0.75999999,5,1,0,0
2062,206207,1,58.248,1.090000033,5,1,0,0
2062,206209,1,50.001,0.479999989,2,1,0,1
2062,206210,1,51.139,0.910000026,5,1,0,1
2062,206211,1,38.433,0.610000014,4,5,0,0
2062,206212,0,31.383,0,2,2,0,0
2062,206213,1,58.348,1.399999976,5,1,0,1
2062,206214,0,27.142,-0.529999971,1,1,0,1
2062,206216,0,19.441,-1.179999948,4,2,0,0
2062,206217,1,54.797,1.059999943,5,1,0,1
2062,206218,1,39.258,-0.07,4,1,0,1
2062,206220,1,43.047,1.379999995,2,2,0,0
2062,206221,1,33.49,0.629999995,1,1,0,0
2062,206222,1,54.06,1.360000014,5,2,0,0
2062,206223,1,54.579,1.070000052,5,1,0,0
2062,206225,1,61.983,1.059999943,4,2,0,0
2062,206226,0,30.338,-0.680000007,2,1,0,1
2062,206227,0,27.574,0.670000017,2,2,0,0
2062,206228,1,40.199,0.819999993,4,2,0,1
2062,206229,1,57.26,0.699999988,4,1,0,1
2062,206230,1,42.493,0.50999999,4,2,0,0
2062,206231,1,34.51,0.319999993,4,3,0,1
2062,206233,1,48.389,0.870000005,5,1,0,1
2071,207101,1,36.578,0.910000026,5,3,0,0
2071,207108,1,63.75,-0.680000007,5,2,0,0
2071,207109,1,35.775,0.479999989,1,5,0,1
2071,207110,1,45.224,0.610000014,5,1,0,0
2071,207111,1,37.755,-0.920000017,5,2,0,0
2071,207113,1,34.081,-0.140000001,5,1,0,0
2071,207115,0,26.946,0.479999989,5,1,0,1
2071,207116,1,42.358,0.409999996,5,2,0,0
2071,207117,0,22.042,-0.319999993,5,1,0,1
2071,207118,0,28.256,0.629999995,2,2,0,0
2071,207119,1,32.174,-0.629999995,5,2,0,1
2071,207120,1,50.332,0.569999993,5,3,0,0
2071,207122,1,42.703,0.300000012,5,3,0,1
2071,207123,0,26.037,-1.580000043,5,1,0,1
2072,207201,1,54.368,-0.25,5,2,0,1
2072,207208,1,59.044,1.5,5,2,0,0
2072,207211,1,44.085,0.709999979,5,4,0,1
2072,207212,1,51.381,0.620000005,5,1,0,0
2072,207214,1,50.745,0,5,1,0,1
2072,207217,1,45.126,0.079999998,5,2,0,1
2072,207218,1,58.868,1.190000057,4,1,0,1
2072,207219,1,36.001,0.439999998,5,2,0,1
2072,207220,1,31.671,0.189999998,5,3,0,1
2072,207221,1,54.671,0.600000024,4,2,0,0
2081,208102,1,63.672,1.570000052,4,1,0,0
2081,208103,1,34.358,0.560000002,5,3,0,1
2081,208104,0,29.986,-0.469999999,1,1,0,0
2081,208105,1,48.066,-0.310000002,2,1,0,1
2081,208106,1,47.239,0.579999983,1,1,0,0
2081,208107,1,49.957,-0.25999999,1,1,0,0
2081,208111,1,46.689,0.239999995,1,1,0,0
2081,208112,1,40.509,-0.330000013,5,2,0,1
2081,208114,1,45.532,-0.49000001,1,1,0,1
2081,208115,0,23.414,0.569999993,1,1,0,1
2081,208116,0,27.287,-1,3,2,0,1
2081,208117,1,45.039,1.059999943,1,1,0,0
2081,208118,1,38.64,-0.090000004,2,1,0,1
2081,208119,1,41.059,-0.379999995,1,1,0,0
2081,208120,0,18.46,-0.720000029,2,5,0,0
2081,208122,1,36.627,-0.589999974,1,1,0,0
2082,208201,1,38.219,-0.939999998,5,2,0,0
2082,208202,1,34.388,0.50999999,5,1,0,0
2082,208203,1,51.201,0.589999974,5,1,0,1
2082,208205,1,31.081,-0.720000029,5,5,0,0
2082,208206,0,24.79,0.569999993,5,1,0,1
2082,208207,1,46.291,1.080000043,5,1,0,1
2082,208208,0,18.597,-0.270000011,5,3,0,1
2082,208209,1,47.558,1.029999971,5,1,0,0
2082,208210,1,31.674,0.620000005,5,1,0,0
2082,208211,1,45.857,1.570000052,5,1,0,1
2082,208212,1,38.658,1.00999999,4,1,0,0
2082,208213,1,37.772,-0.079999998,5,1,0,0
2082,208214,1,48.764,0.180000007,5,1,0,1
2082,208216,1,45.04,0.180000007,5,1,0,1
2082,208218,1,54.76,1.899999976,5,1,0,1
2082,208219,1,48.481,0.839999974,5,1,0,1
2082,208220,0,28.806,-0.25999999,5,1,0,0
2082,208222,1,59.838,0.99000001,3,1,0,1
2091,209101,0,26.825,-0.680000007,3,3,0,1
2091,209102,1,54.538,0.419999987,5,1,0,0
2091,209103,0,18.397,-0.159999996,2,1,0,0
2091,209104,0,23.408,-0.790000021,4,1,0,1
2091,209105,1,50.85,-0.170000002,2,1,0,1
2091,209106,1,55.824,1.220000029,3,1,0,1
2091,209107,1,39.176,0.119999997,5,2,0,1
2091,209108,0,26.03,-0.209999993,3,4,0,0
2091,209109,1,45.149,0.709999979,5,1,0,1
2091,209110,1,54.373,0.730000019,3,1,0,0
2091,209111,1,31.748,0.289999992,2,1,0,1
2091,209112,1,33.01,0.25,4,1,0,1
2091,209113,1,58.004,-0.119999997,4,1,0,1
2091,209114,1,50.101,-0.639999986,5,1,0,0
2092,209201,1,35.626,-0.910000026,5,2,0,1
2092,209202,0,27.878,-0.920000017,5,2,0,0
2092,209203,0,28.432,-0.920000017,5,1,0,1
2092,209204,1,30.252,-0.649999976,2,5,0,0
2092,209205,0,20.353,-0.050000001,3,5,0,0
2092,209206,1,44.993,-0.449999988,5,2,0,0
2092,209207,1,59.342,0.189999998,5,1,0,0
2092,209209,1,39.012,-0.180000007,4,1,0,0
2092,209210,1,37.105,-0.75999999,5,5,0,1
2092,209211,1,38.375,1.070000052,5,2,0,0
2092,209212,1,49.991,-0.289999992,5,1,0,0
2092,209213,1,37.338,-0.540000021,5,1,0,1
2092,209214,0,15.339,-1.110000014,3,5,0,0
2092,209215,0,28.729,-0.400000006,5,1,0,0
2092,209216,1,47.398,-0.49000001,5,1,0,1
2092,209217,1,41.523,0.569999993,5,3,0,1
2092,209218,1,40.407,-0.610000014,5,1,0,1
2092,209219,1,52.56,0.479999989,5,1,0,0
2092,209220,0,20.689,0.600000024,5,5,0,1
2092,209221,0,16.411,-0.400000006,4,1,0,1
2092,209222,1,38.333,-0.239999995,5,2,0,0
2092,209223,1,38.621,-0.239999995,5,1,0,0
2092,209224,0,26.257,-0.560000002,4,3,0,0
2092,209225,1,44.779,0.379999995,5,1,0,1
2101,210102,1,39.827,0.310000002,5,1,0,1
2101,210103,1,39.529,0.610000014,5,1,0,1
2101,210104,1,38.494,0.360000014,5,3,0,1
2101,210105,0,25.6,-0.620000005,5,1,0,0
2101,210106,1,42.819,-0.300000012,4,2,0,0
2101,210107,1,59.812,1.649999976,5,1,0,1
2101,210108,1,31.391,0,4,4,0,1
2101,210109,0,29.342,-0.790000021,5,5,0,1
2101,210110,1,37.487,1.200000048,4,3,0,0
2101,210111,1,49.585,1.639999986,5,1,0,1
2101,210112,1,46.495,0.239999995,5,1,0,1
2101,210113,1,57.121,1.230000019,5,1,0,1
2101,210114,1,39.981,1.070000052,5,2,0,1
2101,210115,0,16.633,-0.180000007,5,1,0,0
2101,210116,1,46.957,0.610000014,4,3,0,0
2101,210117,1,47.087,0.230000004,5,1,0,1
2101,210118,1,58.508,0.550000012,5,1,0,0
2101,210119,1,50.492,0.769999981,5,1,0,1
2101,210120,1,60.346,1.899999976,5,1,0,0
2101,210121,1,33.937,-0.439999998,2,4,0,0
2101,210122,1,32.967,-0.319999993,5,2,0,0
2101,210123,0,25.858,-0.270000011,5,2,0,0
2101,210124,1,36.033,0.400000006,5,1,0,0
2101,210125,0,23.411,-0.74000001,5,2,0,1
2101,210126,1,47.247,0.589999974,5,1,0,1
2101,210127,0,28.53,-0.589999974,4,1,0,1
2102,210205,1,41.815,-0.939999998,5,1,0,1
2102,210206,1,39.84,-0.310000002,5,1,0,0
2102,210207,1,51.847,0.74000001,5,3,0,1
2102,210208,1,52.136,0.170000002,4,1,0,1
2102,210209,1,52.335,-0.090000004,5,2,0,0
2102,210210,1,40.28,-0.409999996,5,1,0,0
2102,210211,0,27.428,0.230000004,5,1,0,1
2102,210212,1,50.284,-0.959999979,5,1,0,0
2102,210213,0,30.347,-0.99000001,5,1,0,0
2102,210214,1,33.43,-0.939999998,5,1,0,1
2102,210215,1,41.257,-0.039999999,5,1,0,1
2102,210216,1,53.431,1.49000001,5,2,0,0
2102,210217,1,44.575,0.219999999,5,1,0,1
2102,210218,1,34.837,0.74000001,5,1,0,1
2111,211101,0,28.854,-0.140000001,5,1,0,1
2111,211103,1,51.206,-0.230000004,5,2,0,0
2111,211104,1,33.895,-1.100000024,5,4,0,0
2111,211105,0,24.533,-0.600000024,5,2,0,1
2111,211106,0,29.911,-0.159999996,5,2,0,1
2111,211107,1,44.275,-0.349999994,5,2,0,1
2111,211109,0,26.495,-1.24000001,5,2,0,1
2111,211110,1,39.332,-0.540000021,5,4,0,0
2111,211112,1,42.479,-0.170000002,5,2,0,1
2111,211113,1,37.495,0.310000002,5,5,0,1
2111,211114,1,43.015,-0.159999996,5,3,0,0
